FundamentalTime,FundamentalValue
2019-06-28 12:39:34.852683486,100076.0
2019-06-28 12:39:47.867850283,100185.0
2019-06-28 12:39:51.302848503,100178.0
2019-06-28 12:39:56.068790363,100275.0
2019-06-28 12:40:01.908363260,100288.0
2019-06-28 12:40:28.863234777,100066.0
2019-06-28 12:40:29.751485266,100072.0
2019-06-28 12:40:34.038647826,100086.0
2019-06-28 12:40:51.347705203,100096.0
2019-06-28 12:41:11.484643154,100246.0
2019-06-28 12:41:58.287804006,100778.0
2019-06-28 12:42:14.455799470,100840.0
2019-06-28 12:42:31.301822293,100745.0
2019-06-28 12:42:49.403500800,100633.0
2019-06-28 12:43:00.170365094,100328.0
2019-06-28 12:43:08.353302357,100120.0
2019-06-28 12:43:10.101313991,100140.0
2019-06-28 12:43:40.649883497,100136.0
2019-06-28 12:43:50.423703152,100132.0
2019-06-28 12:43:57.899906298,100110.0
2019-06-28 12:43:59.144757920,100130.0
2019-06-28 12:44:22.261285830,100086.0
2019-06-28 12:44:36.964590895,99941.0
2019-06-28 12:44:58.570052535,99769.0
2019-06-28 12:45:05.035390186,99824.0
2019-06-28 12:45:11.129803544,99801.0
2019-06-28 12:45:21.638432704,99761.0
2019-06-28 12:45:41.971042668,99593.0
2019-06-28 12:46:16.052239144,98899.0
2019-06-28 12:46:17.111852317,98895.0
2019-06-28 12:46:18.801944832,98905.0
2019-06-28 12:46:20.258282240,98902.0
2019-06-28 12:46:34.847931286,99048.0
2019-06-28 12:47:11.304632064,99888.0
2019-06-28 12:47:17.480387829,99849.0
2019-06-28 12:47:44.784347726,100017.0
2019-06-28 12:48:26.358784595,99875.0
2019-06-28 12:48:36.886474549,100056.0
2019-06-28 12:48:58.197995822,100192.0
2019-06-28 12:49:24.500721550,100247.0
2019-06-28 12:49:30.081482120,100252.0
2019-06-28 12:49:32.300333639,100263.0
2019-06-28 12:50:07.311972000,99816.0
2019-06-28 12:50:10.464755562,99793.0
2019-06-28 12:50:20.522414633,99579.0
2019-06-28 12:50:29.520426271,99549.0
2019-06-28 12:50:32.000570715,99538.0
2019-06-28 12:50:45.951858260,99618.0
2019-06-28 12:50:51.313024373,99564.0
2019-06-28 12:50:59.098271214,99530.0
2019-06-28 12:51:06.550928628,99501.0
2019-06-28 12:51:09.678672738,99452.0
2019-06-28 12:51:21.185184190,99433.0
2019-06-28 12:52:00.608890714,99259.0
2019-06-28 12:52:20.889764390,99723.0
2019-06-28 12:52:23.059183143,99684.0
2019-06-28 12:52:27.670617464,99707.0
2019-06-28 12:53:32.216599677,100616.0
2019-06-28 12:53:34.043603040,100624.0
2019-06-28 12:53:34.905860678,100634.0
2019-06-28 12:53:52.207675166,100525.0
2019-06-28 12:54:13.158772180,100484.0
2019-06-28 12:54:15.332795527,100508.0
2019-06-28 12:54:16.586873401,100503.0
2019-06-28 12:54:25.995208694,100444.0
2019-06-28 12:55:10.398570454,100260.0
2019-06-28 12:55:35.997273472,100225.0
2019-06-28 12:55:37.662718889,100199.0
2019-06-28 12:55:39.163765820,100204.0
2019-06-28 12:55:44.457646522,100283.0
2019-06-28 12:55:45.055554426,100277.0
2019-06-28 12:56:01.915039337,100267.0
2019-06-28 12:56:17.555790453,100196.0
2019-06-28 12:56:21.795969575,100138.0
2019-06-28 12:56:53.287125780,100128.0
2019-06-28 12:56:56.221040621,100069.0
2019-06-28 12:57:04.274781371,99995.0
2019-06-28 12:57:05.309467864,99993.0
2019-06-28 12:57:36.604762124,100459.0
2019-06-28 12:57:54.154973330,100219.0
2019-06-28 12:59:18.154796702,100104.0
2019-06-28 12:59:42.016083136,99835.0
2019-06-28 12:59:43.655229339,99860.0
2019-06-28 12:59:46.942528654,99838.0
