,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 14:02:57.735338749,100734,507,100564,100,101107,100,100168,426,101130,100,100041,100,101271,100,99995,100,,,99657,100,,,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:00.000000000,100734,61,100564,181,101107,181,100168,100,101130,181,100041,181,101271,181,99995,181,101272,81,99657,181,,,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:10.000000000,100734,85,100564,181,101107,181,100168,100,101130,181,100041,181,101271,181,99995,181,101272,81,99657,181,,,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:20.000000000,100734,208,100564,304,101107,304,100168,223,101130,100,100041,100,101271,100,99995,100,,,99657,100,,,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:29.159422983,100734,208,100564,304,101107,304,100479,100,101130,100,100168,223,101271,100,100041,100,,,99995,100,,,99657,100,,,99152,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:03:30.000000000,100734,208,100564,304,101107,304,100479,304,101130,100,100168,19,101271,100,100041,100,,,99995,100,,,99657,100,,,99152,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:03:30.030780182,100734,308,100564,304,101107,304,100479,304,101130,100,100168,19,101271,100,100041,100,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:40.000000000,100734,242,100564,238,101107,234,100479,234,101130,234,100168,153,101271,100,100041,100,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:03:45.820970724,100734,242,100564,238,101107,234,100479,234,101130,234,100182,100,101271,100,100168,153,,,100041,100,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:03:50.000000000,100734,185,100564,181,101107,181,100479,181,101130,181,100182,181,101271,181,100168,100,101272,81,100041,181,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:00.000000000,100734,391,100564,507,101107,100,100479,100,101130,100,100182,100,101271,100,100168,19,,,100041,100,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:09.631566213,100734,391,100564,407,101107,100,100479,100,101130,100,100182,100,101271,100,100168,19,,,100041,100,,,99995,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:10.000000000,100734,85,100479,181,101107,181,100182,181,101130,181,100168,100,101271,181,100041,181,101272,81,99995,181,,,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100
2019-06-28 14:04:14.335647096,100734,85,100479,181,101107,181,100182,181,101130,181,100168,100,101271,181,100041,181,101272,81,99995,181,,,99775,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:19.213549938,100733,100,100479,181,100734,85,100182,181,101107,181,100168,100,101130,181,100041,181,101271,181,99995,181,101272,81,99775,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:20.000000000,100733,304,100479,304,100734,208,100182,304,101107,100,100168,19,101130,100,100041,100,101271,100,99995,100,,,99775,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:04:29.189443155,100733,304,100479,204,100734,208,100182,304,101107,100,100168,19,101130,100,99995,100,101271,100,99775,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100
2019-06-28 14:04:30.000000000,100733,304,100182,304,100734,208,100168,223,101107,100,99995,100,101130,100,99775,100,101271,100,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100,,,,
2019-06-28 14:04:40.000000000,100733,238,100182,238,100734,138,100168,153,101107,234,99995,234,101130,100,99775,100,101271,100,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100,,,,
2019-06-28 14:04:50.000000000,100733,202,100182,202,100734,106,100168,121,101107,202,99995,202,101130,202,99775,202,101271,100,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100,,,,
2019-06-28 14:04:53.196908700,100733,202,100182,202,100734,106,100168,121,101107,202,100052,100,101130,202,99995,202,101271,100,99775,202,,,99657,100,,,99111,100,,,99110,100,,,98659,100,,,98425,100
2019-06-28 14:04:59.245731543,100733,202,100182,202,100734,106,100168,121,101107,202,100067,100,101130,102,100052,100,101271,100,99995,202,,,99775,202,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:05:00.000000000,100733,184,100182,304,100734,208,100168,223,101107,100,100067,100,101271,100,100052,100,,,99995,100,,,99775,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:05:05.321682024,100733,184,100182,304,100734,208,100168,223,101107,100,100067,100,101271,100,100052,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:05:10.000000000,100733,85,100182,181,100734,85,100168,100,101107,181,100067,181,101271,181,100052,181,101272,81,99775,181,,,99730,100,,,99657,100,,,99111,100,,,99110,100,,,98659,100
2019-06-28 14:05:11.028429130,100733,85,100182,181,100734,85,100168,100,101107,181,100067,181,101271,181,100052,181,101272,81,99884,100,,,99775,181,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:05:20.000000000,100733,85,100182,181,100734,85,100168,100,101107,181,100067,181,101271,181,100052,181,101272,81,99884,181,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:05:30.000000000,100733,85,100182,181,100734,85,100168,100,101107,181,100067,181,101271,181,100052,181,101272,81,99884,181,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:05:40.000000000,100733,411,100182,507,100734,4,100168,19,101107,100,100067,100,101271,100,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:05:50.000000000,100733,208,100182,304,100734,208,100168,223,101107,100,100067,100,101271,100,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100,,,99110,100
2019-06-28 14:06:00.000000000,100734,56,100733,6,101107,181,100182,181,101271,181,100168,100,101272,81,100067,181,,,100052,181,,,99884,181,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:06:10.000000000,100734,106,100733,108,101107,202,100182,202,101271,202,100168,121,101272,102,100067,202,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:06:20.000000000,100734,85,100733,87,101107,181,100182,181,101271,181,100168,100,101272,81,100067,181,,,100052,181,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:06:30.000000000,100734,142,100733,144,101107,234,100182,234,101271,234,100168,153,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:06:40.000000000,100734,208,100733,210,101107,304,100182,304,101271,100,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100,,,99111,100
2019-06-28 14:06:49.406721484,100734,208,100733,210,101107,304,100552,100,,,100182,304,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:06:50.000000000,100734,411,100733,413,101107,100,100552,100,,,100182,100,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
